2025-12-25 16:46:19 | INFO     | app.main             | log_requests         | [1646198509] ✗ GET /csky - 404 (0ms)
2025-12-25 16:46:24 | DEBUG    | app.main             | log_requests         | [1646245050] GET /arc
2025-12-25 16:46:24 | INFO     | app.main             | log_requests         | [1646245050] ✗ GET /arc - 404 (0ms)
2025-12-25 16:46:34 | DEBUG    | app.main             | log_requests         | [1646341822] GET /harm4
2025-12-25 16:46:34 | INFO     | app.main             | log_requests         | [1646341822] ✗ GET /harm4 - 404 (0ms)
2025-12-25 16:46:37 | DEBUG    | app.main             | log_requests         | [1646372711] GET /harm5
2025-12-25 16:46:37 | INFO     | app.main             | log_requests         | [1646372711] ✗ GET /harm5 - 404 (0ms)
2025-12-25 16:46:42 | DEBUG    | app.main             | log_requests         | [1646427216] GET /gmpsl
2025-12-25 16:46:42 | INFO     | app.main             | log_requests         | [1646427216] ✗ GET /gmpsl - 404 (0ms)
2025-12-25 16:46:49 | DEBUG    | app.main             | log_requests         | [1646490152] GET /hmips
2025-12-25 16:46:49 | INFO     | app.main             | log_requests         | [1646490152] ✗ GET /hmips - 404 (0ms)
2025-12-25 16:46:56 | DEBUG    | app.main             | log_requests         | [1646561037] GET /armv7l
2025-12-25 16:46:56 | INFO     | app.main             | log_requests         | [1646561037] ✗ GET /armv7l - 404 (0ms)
2025-12-25 16:46:59 | DEBUG    | app.main             | log_requests         | [1646590054] GET /gompsl
2025-12-25 16:46:59 | INFO     | app.main             | log_requests         | [1646590054] ✗ GET /gompsl - 404 (0ms)
2025-12-25 16:47:12 | DEBUG    | app.main             | log_requests         | [1647129612] GET /garm7
2025-12-25 16:47:12 | INFO     | app.main             | log_requests         | [1647129612] ✗ GET /garm7 - 404 (0ms)
2025-12-25 16:47:17 | DEBUG    | app.main             | log_requests         | [1647177747] GET /systemcl/mpsl
2025-12-25 16:47:17 | INFO     | app.main             | log_requests         | [1647177747] ✗ GET /systemcl/mpsl - 404 (0ms)
2025-12-25 16:47:28 | DEBUG    | app.main             | log_requests         | [1647280053] GET /systemcl/x86_64
2025-12-25 16:47:28 | INFO     | app.main             | log_requests         | [1647280053] ✗ GET /systemcl/x86_64 - 404 (0ms)
2025-12-25 16:47:35 | DEBUG    | app.main             | log_requests         | [1647355504] GET /systemcl/arm7
2025-12-25 16:47:35 | INFO     | app.main             | log_requests         | [1647355504] ✗ GET /systemcl/arm7 - 404 (0ms)
2025-12-25 16:47:39 | DEBUG    | app.main             | log_requests         | [1647395339] GET /systemcl/m68k
2025-12-25 16:47:39 | INFO     | app.main             | log_requests         | [1647395339] ✗ GET /systemcl/m68k - 404 (0ms)
2025-12-25 16:47:47 | DEBUG    | app.main             | log_requests         | [1647474441] GET /systemcl/spc
2025-12-25 16:47:47 | INFO     | app.main             | log_requests         | [1647474441] ✗ GET /systemcl/spc - 404 (0ms)
2025-12-25 16:47:55 | DEBUG    | app.main             | log_requests         | [1647557691] GET /systemcl/arm
2025-12-25 16:47:55 | INFO     | app.main             | log_requests         | [1647557691] ✗ GET /systemcl/arm - 404 (0ms)
2025-12-25 16:48:04 | DEBUG    | app.main             | log_requests         | [1648043954] GET /systemcl/mips
2025-12-25 16:48:04 | INFO     | app.main             | log_requests         | [1648043954] ✗ GET /systemcl/mips - 404 (0ms)
