2025-12-27 11:10:22 | WARNING  | app.main             | <module>             | ✗ Failed to load main routes: No module named 'app.api.routes'
2025-12-27 11:10:22 | WARNING  | app.main             | <module>             | ✗ Failed to load optimizer routes: No module named 'app.api.optimizer_routes'
2025-12-27 11:10:23 | INFO     | app.main             | <module>             | âœ“ Loaded: data routes
2025-12-27 11:10:23 | INFO     | app.main             | <module>             | âœ“ Loaded: indicator routes
2025-12-27 11:10:23 | INFO     | app.main             | lifespan             | ============================================================
2025-12-27 11:10:23 | INFO     | app.main             | lifespan             | KOMAS TRADING SERVER v3.0 - STARTING
2025-12-27 11:10:23 | INFO     | app.main             | lifespan             | Log file: C:\Users\Administrator\Desktop\komass\backend\logs\komas_2025-12-27.log
2025-12-27 11:10:23 | INFO     | app.main             | lifespan             | Error log: C:\Users\Administrator\Desktop\komass\backend\logs\errors_2025-12-27.log
2025-12-27 11:10:23 | INFO     | app.main             | lifespan             | ============================================================
2025-12-27 11:10:28 | DEBUG    | app.main             | log_requests         | [1110283532] GET /api/data/symbols
2025-12-27 11:10:28 | DEBUG    | app.main             | log_requests         | [1110283532] GET /api/data/available
2025-12-27 11:10:34 | INFO     | app.main             | log_requests         | [1110283532] âœ“ GET /api/data/symbols - 200 (6476ms)
2025-12-27 11:10:34 | INFO     | app.main             | log_requests         | [1110283532] âœ“ GET /api/data/available - 200 (6477ms)
2025-12-27 11:10:34 | DEBUG    | app.main             | log_requests         | [1110348316] POST /api/indicator/calculate
2025-12-27 11:10:37 | DEBUG    | app.main             | log_requests         | [1110373724] GET /api/data/symbols
2025-12-27 11:10:37 | DEBUG    | app.main             | log_requests         | [1110373734] GET /api/data/available
2025-12-27 11:10:37 | INFO     | app.main             | log_requests         | [1110348316] âœ“ POST /api/indicator/calculate - 200 (2541ms)
2025-12-27 11:10:42 | INFO     | app.main             | log_requests         | [1110373724] âœ“ GET /api/data/symbols - 200 (5103ms)
2025-12-27 11:10:42 | INFO     | app.main             | log_requests         | [1110373734] âœ“ GET /api/data/available - 200 (5111ms)
2025-12-27 11:13:26 | DEBUG    | app.main             | log_requests         | [1113269642] GET /SDK/webLanguage
2025-12-27 11:13:26 | INFO     | app.main             | log_requests         | [1113269642] ✗ GET /SDK/webLanguage - 404 (0ms)
2025-12-27 11:15:27 | DEBUG    | app.main             | log_requests         | [1115271589] GET /
2025-12-27 11:15:27 | INFO     | app.main             | log_requests         | [1115271589] âœ“ GET / - 200 (0ms)
2025-12-27 11:20:44 | DEBUG    | app.main             | log_requests         | [1120448159] GET /wp-content/plugins/hellopress/wp_filemanager.php
2025-12-27 11:20:44 | INFO     | app.main             | log_requests         | [1120448159] ✗ GET /wp-content/plugins/hellopress/wp_filemanager.php - 404 (0ms)
2025-12-27 11:20:44 | DEBUG    | app.main             | log_requests         | [1120448470] GET /nc4.php
2025-12-27 11:20:44 | INFO     | app.main             | log_requests         | [1120448470] ✗ GET /nc4.php - 404 (0ms)
2025-12-27 11:20:44 | DEBUG    | app.main             | log_requests         | [1120448780] GET /d4.php
2025-12-27 11:20:44 | INFO     | app.main             | log_requests         | [1120448780] ✗ GET /d4.php - 404 (0ms)
2025-12-27 11:20:44 | DEBUG    | app.main             | log_requests         | [1120449091] GET /ad.php
2025-12-27 11:20:44 | INFO     | app.main             | log_requests         | [1120449091] ✗ GET /ad.php - 404 (0ms)
2025-12-27 11:20:44 | DEBUG    | app.main             | log_requests         | [1120449461] GET /dlex.php
2025-12-27 11:20:44 | INFO     | app.main             | log_requests         | [1120449461] ✗ GET /dlex.php - 404 (0ms)
2025-12-27 11:20:44 | DEBUG    | app.main             | log_requests         | [1120449892] GET /classwithtostring.php
2025-12-27 11:20:44 | INFO     | app.main             | log_requests         | [1120449892] ✗ GET /classwithtostring.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120450214] GET /pass.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120450214] ✗ GET /pass.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120450541] GET /good.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120450541] ✗ GET /good.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120450972] GET /ext.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120450972] ✗ GET /ext.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120451280] GET /class20.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120451280] ✗ GET /class20.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120451598] GET /css/index.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120451598] ✗ GET /css/index.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120451912] GET /aa.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120451912] ✗ GET /aa.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120452222] GET /npi.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120452222] ✗ GET /npi.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120452644] GET /ahax.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120452644] ✗ GET /ahax.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120452966] GET /pop.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120452966] ✗ GET /pop.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120453291] GET /file17.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120453291] ✗ GET /file17.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120453615] GET /wp-includes/fonts/themes.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120453615] ✗ GET /wp-includes/fonts/themes.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120453937] GET /about.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120453937] ✗ GET /about.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120454256] GET /litanies.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120454256] ✗ GET /litanies.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120454719] GET /g.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120454719] ✗ GET /g.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120455054] GET /readme.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120455054] ✗ GET /readme.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120455376] GET /kwm4.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120455376] ✗ GET /kwm4.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120455698] GET /just2.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120455698] ✗ GET /just2.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120456073] GET /png.php
2025-12-27 11:20:45 | INFO     | app.main             | log_requests         | [1120456073] ✗ GET /png.php - 404 (0ms)
2025-12-27 11:20:45 | DEBUG    | app.main             | log_requests         | [1120456350] GET /geger.php
