2025-12-26 10:27:07 | WARNING  | app.main             | <module>             | ✗ Failed to load main routes: No module named 'app.api.routes'
2025-12-26 10:27:07 | WARNING  | app.main             | <module>             | ✗ Failed to load optimizer routes: No module named 'app.api.optimizer_routes'
2025-12-26 10:27:07 | WARNING  | app.main             | <module>             | ✗ Failed to load data routes: No module named 'app.api.data_routes'
2025-12-26 10:27:07 | WARNING  | app.main             | <module>             | ✗ Failed to load indicator routes: No module named 'app.api.indicator_routes'
2025-12-26 10:27:07 | INFO     | app.api.signals      | init_database        | Database initialized: C:\Users\Administrator\Desktop\комас\backend\data\komas_signals.db
2025-12-26 10:27:07 | INFO     | app.main             | <module>             | ✓ Loaded: signals routes
2025-12-26 10:27:07 | INFO     | app.main             | lifespan             | ============================================================
2025-12-26 10:27:07 | INFO     | app.main             | lifespan             | KOMAS TRADING SERVER v3.5 - STARTING
2025-12-26 10:27:07 | INFO     | app.main             | lifespan             | Log file: C:\Users\Administrator\Desktop\комас\backend\logs\komas_2025-12-26.log
2025-12-26 10:27:07 | INFO     | app.main             | lifespan             | Error log: C:\Users\Administrator\Desktop\комас\backend\logs\errors_2025-12-26.log
2025-12-26 10:27:07 | INFO     | app.main             | lifespan             | ============================================================
2025-12-26 10:27:10 | DEBUG    | app.main             | log_requests         | [1027106844] POST /api/data/download
2025-12-26 10:27:10 | INFO     | app.main             | log_requests         | [1027106844] ✗ POST /api/data/download - 404 (1ms)
2025-12-26 10:27:12 | DEBUG    | app.main             | log_requests         | [1027123192] GET /api/indicator/presets
2025-12-26 10:27:12 | INFO     | app.main             | log_requests         | [1027123192] ✗ GET /api/indicator/presets - 404 (0ms)
2025-12-26 10:27:12 | DEBUG    | app.main             | log_requests         | [1027123255] GET /api/indicator/presets
2025-12-26 10:27:12 | INFO     | app.main             | log_requests         | [1027123255] ✗ GET /api/indicator/presets - 404 (1ms)
2025-12-26 10:27:14 | DEBUG    | app.main             | log_requests         | [1027143040] POST /api/indicator/calculate
2025-12-26 10:27:14 | INFO     | app.main             | log_requests         | [1027143040] ✗ POST /api/indicator/calculate - 404 (0ms)
2025-12-26 10:27:16 | DEBUG    | app.main             | log_requests         | [1027167045] GET /api/data/symbols
2025-12-26 10:27:16 | DEBUG    | app.main             | log_requests         | [1027167055] GET /api/data/status
2025-12-26 10:27:16 | INFO     | app.main             | log_requests         | [1027167045] ✗ GET /api/data/symbols - 404 (1ms)
2025-12-26 10:27:16 | INFO     | app.main             | log_requests         | [1027167055] ✗ GET /api/data/status - 404 (2ms)
2025-12-26 10:27:16 | DEBUG    | app.main             | log_requests         | [1027167190] GET /api/data/symbols
2025-12-26 10:27:16 | INFO     | app.main             | log_requests         | [1027167190] ✗ GET /api/data/symbols - 404 (0ms)
2025-12-26 10:27:16 | DEBUG    | app.main             | log_requests         | [1027169550] GET /api/data/status
2025-12-26 10:27:16 | INFO     | app.main             | log_requests         | [1027169550] ✗ GET /api/data/status - 404 (0ms)
2025-12-26 10:27:17 | DEBUG    | app.main             | log_requests         | [1027178033] POST /api/data/download
2025-12-26 10:27:17 | INFO     | app.main             | log_requests         | [1027178033] ✗ POST /api/data/download - 404 (0ms)
2025-12-26 10:27:32 | DEBUG    | app.main             | log_requests         | [1027322438] GET /api/indicator/presets
2025-12-26 10:27:32 | INFO     | app.main             | log_requests         | [1027322438] ✗ GET /api/indicator/presets - 404 (0ms)
2025-12-26 10:27:32 | DEBUG    | app.main             | log_requests         | [1027325536] GET /api/indicator/presets
